436	0	9420	51840
437	0	9454	51840
438	0	9455	1244160
439	0	9465	51840
440	0	9473	51840
441	0	9476	100000
442	0	9491	100000
443	0	9498	51840
444	0	9506	51840
445	0	9508	51840
446	0	9563	51840
447	0	9601	51840
448	0	9611	51840
449	0	9616	51840
450	0	9622	1244160
451	0	9623	51840
452	0	9630	51840
453	0	9648	51840
454	0	9664	100000
455	0	9703	2488320
456	0	9707	51840
457	0	9726	2488320
458	0	9808	51840
459	0	9812	100000
460	0	9832	51840
461	0	9875	100000
462	0	9896	100000
463	0	9927	1244160
464	0	9976	51840
465	0	9996	51840
466	0	10001	51840
467	0	10019	51840
468	0	10021	51840
469	0	10051	51840
470	0	10056	100000
471	0	10080	100000
472	0	10133	51840
473	0	10137	2488320
474	0	10144	51840
475	0	10202	51840
476	0	10204	51840
477	0	10215	100000
478	0	10227	51840
479	0	10231	1244160
480	0	10262	2488320
481	0	10288	100000
482	0	10293	51840
483	0	10299	51840
484	0	10305	51840
485	0	10306	100000
486	0	10318	2488320
487	0	10330	51840
488	0	10360	51840
489	0	10367	51840
490	0	10375	100000
491	0	10377	51840
492	0	10380	51840
493	0	10396	51840
494	0	10413	51840
495	0	10429	51840
496	0	10472	100000
497	0	10511	466560
498	0	10563	51840
499	0	10565	51840
500	0	10576	51840
501	0	11497	100000
502	0	11501	100000
503	0	11509	51840
504	0	11544	2488320
505	0	11600	51840
506	0	11622	51840
507	0	11640	51840
508	0	11647	100000
509	0	11653	51840
510	0	11671	51840
511	0	11737	100000
512	0	11740	466560
513	0	11801	100000
514	0	11825	51840
515	0	11829	51840
516	0	11869	51840
517	0	11899	100000
518	0	11915	51840
519	0	11971	51840
520	0	11975	51840
521	0	12023	51840
522	0	12035	51840
523	0	12059	51840
524	0	12098	51840
525	0	12181	51840
526	0	12223	51840
527	0	12298	51840
528	0	12306	2488320
529	0	12348	100000
530	0	12361	1244160
531	0	12366	100000
532	0	12369	51840
533	0	12397	51840
534	0	12407	51840
535	0	12411	51840
536	0	12432	51840
537	0	12468	51840
538	0	12479	51840
539	0	12498	51840
540	0	12530	51840
541	0	12537	51840
542	0	12546	51840
543	0	12555	100000
544	0	12587	51840
545	0	12596	51840
546	0	12603	51840
547	0	12629	51840
548	0	12653	51840
549	0	12664	100000
550	0	12679	100000
551	0	12736	100000
552	0	12800	51840
553	0	12818	51840
554	0	12821	51840
555	0	12828	51840
556	0	12834	51840
557	0	12844	51840
558	0	12861	2488320
559	0	12866	1244160
560	0	12885	51840
561	0	12921	51840
562	0	12926	100000
563	0	12948	51840
564	0	12972	51840
565	0	12973	51840
566	0	13703	466560
567	0	13725	100000
568	0	13756	100000
569	0	13775	51840
570	0	13805	51840
571	0	13811	100000
572	0	13813	51840
573	0	13818	100000
574	0	13886	51840
575	0	13922	51840
576	0	13952	51840
577	0	13960	100000
578	0	14022	2488320
579	0	14040	51840
580	0	14084	100000
581	0	14118	51840
582	0	14142	51840
583	0	14155	51840
584	0	14175	2488320
585	0	14193	1244160
586	0	14239	100000
587	0	14254	51840
588	0	14268	100000
589	0	14290	51840
590	0	14313	100000
591	0	14314	51840
592	0	14332	51840
593	0	14357	51840
594	0	14373	51840
595	0	14379	51840
596	0	14413	100000
597	0	14443	51840
598	0	14449	2488320
599	0	14461	51840
600	0	14490	51840
601	0	14493	100000
602	0	14515	51840
603	0	14534	51840
604	0	14560	51840
605	0	14602	51840
606	0	14838	100000
607	0	14973	100000
608	0	14987	100000
609	0	15022	100000
610	0	15054	51840
611	0	15097	51840
612	0	15158	51840
613	0	15164	51840
614	0	15207	51840
615	0	15219	51840
616	0	15230	51840
617	0	15482	2488320
618	0	15658	51840
619	1	2218	100000
620	1	4842	100000
621	1	12074	51840
622	2	131	100000
623	2	4261	100000
624	3	2176	100000
625	3	4740	100000
626	3	14832	51840
627	4	187	100000
628	4	258	100000
629	4	739	100000
630	4	881	100000
631	4	11823	100000
632	4	15528	51840
633	5	209	466560
634	6	696	2488320
635	6	1174	51840
636	7	1378	2488320
637	8	103	100000
638	8	382	51840
639	8	8604	2488320
640	9	401	100000
641	9	963	100000
642	9	1906	100000
643	10	175	100000
644	10	306	100000
645	11	963	2488320
646	11	1718	2488320
647	11	1850	100000
648	12	131	100000
649	13	10137	2488320
650	14	2116	100000
651	14	4812	466560
652	15	963	51840
653	15	1588	100000
654	15	1850	2488320
655	16	258	100000
656	16	785	100000
657	17	175	2488320
658	17	2231	100000
659	18	133	51840
660	19	133	100000
661	19	2176	100000
662	19	4151	51840
663	19	4365	1244160
664	19	4812	100000
665	20	4741	100000
666	21	401	100000
667	21	963	100000
668	22	103	100000
669	22	4429	100000
670	23	103	2488320
671	23	4261	100000
672	24	109	100000
673	24	4740	100000
674	25	47	100000
675	25	660	100000
676	25	931	1244160
677	25	1158	100000
678	25	1718	2488320
679	25	3277	51840
680	25	4741	100000
681	25	8180	100000
682	25	11966	51840
683	26	187	2488320
684	26	553	100000
685	26	1158	2488320
